# (use the command "$ sed -e '/^#/d' -e 's/#.*$//' <filename>" to remove comments)
# Sample Temperature: 2.4395808696746837
#   Initial Sweeps: 100
#            Width: 4
#        Generator: Xorshift
#    Sweep Pattern: RandomSweep
# Total Sweep Time: 1.3821486870000002
# Total Histogram Time: 0.00829873
#   Temperature        E (10)        C (10)       E (100)       C (100)      E (1000)      C (1000)     E (10000)     C (10000)    E (100000)    C (100000)   E (1000000)   C (1000000)
           2.49    -1.6611127    0.30232968     -1.325236    0.41789377    -1.4061513    0.39394587    -1.3663898    0.41126265     -1.381332    0.40495238    -1.3877121    0.40658118
            2.5      -1.65505    0.30392139    -1.3168932    0.41636807    -1.3982751    0.39365689    -1.3581732    0.41037833      -1.37324    0.40423266     -1.379586    0.40600331
           2.51    -1.6489564    0.30542265    -1.3085818     0.4147522    -1.3904056    0.39327605    -1.3499753    0.40939833    -1.3651633    0.40341722    -1.3714726    0.40532752
           2.52    -1.6428337    0.30683281    -1.3003037    0.41304931    -1.3825446    0.39280499    -1.3417979    0.40832515    -1.3571039    0.40250834    -1.3633736    0.40455598
           2.53    -1.6366837    0.30815135    -1.2920604    0.41126256     -1.374694    0.39224541    -1.3336429    0.40716138    -1.3490636    0.40150835     -1.355291    0.40369089
           2.54    -1.6305083    0.30937785    -1.2838537    0.40939513    -1.3668554    0.39159908    -1.3255121    0.40590962    -1.3410442    0.40041962    -1.3472266    0.40273453
           2.55    -1.6243092    0.31051204    -1.2756851    0.40745018    -1.3590306    0.39086781    -1.3174071    0.40457252    -1.3330474    0.39924459    -1.3391822    0.40168922
           2.56    -1.6180884    0.31155375    -1.2675562    0.40543091    -1.3512212     0.3900535    -1.3093297    0.40315275    -1.3250749    0.39798572    -1.3311596    0.40055735
           2.57    -1.6118477    0.31250292    -1.2594684    0.40334047     -1.343429    0.38915806    -1.3012815    0.40165304    -1.3171285    0.39664553    -1.3231604    0.39934134
           2.58    -1.6055889    0.31335963     -1.251423    0.40118203    -1.3356555    0.38818347    -1.2932641    0.40007609    -1.3092096    0.39522654    -1.3151865    0.39804363
