# (use the command "$ sed -e '/^#/d' -e 's/#.*$//' <filename>" to remove comments)
# Sample Temperature: 2.7579504299163817
#   Initial Sweeps: 100
#            Width: 2
#        Generator: Xorshift
#    Sweep Pattern: IterSweep
# Total Sweep Time: 0.21221440400000002
# Total Histogram Time: 0.002112146
#   Temperature        E (10)        C (10)       E (100)       C (100)      E (1000)      C (1000)     E (10000)     C (10000)    E (100000)    C (100000)   E (1000000)   C (1000000)
           1.83            -2             0    -1.9156728   0.096475426    -1.9070638    0.10584689    -1.9056031    0.10812429    -1.9053055    0.10830693    -1.9027462    0.11128673
           1.84            -2             0    -1.9137328    0.09752622    -1.9049355    0.10697764    -1.9034288    0.10930856    -1.9031276    0.10948575    -1.9005083    0.11250058
           1.85            -2             0    -1.9117718   0.098566604    -1.9027847    0.10809626    -1.9012309    0.11048141    -1.9009262     0.1106529    -1.8982463    0.11370253
           1.86            -2             0    -1.9097902   0.099596367    -1.9006117    0.10920252    -1.8990096    0.11164262    -1.8987016    0.11180813    -1.8959603    0.11489233
           1.87            -2             0    -1.9077881    0.10061531    -1.8984167     0.1102962    -1.8967652    0.11279197    -1.8964539    0.11295123    -1.8936506    0.11606975
           1.88            -2             0    -1.9057657    0.10162323       -1.8962    0.11137711     -1.894498    0.11392922    -1.8941836    0.11408198    -1.8913176    0.11723459
           1.89            -2             0    -1.9037232    0.10261995    -1.8939617    0.11244503    -1.8922081    0.11505419    -1.8918907    0.11520018    -1.8889614    0.11838661
            1.9            -2             0    -1.9016609    0.10360529    -1.8917023    0.11349977    -1.8898959    0.11616668    -1.8895757    0.11630563    -1.8865822    0.11952564
           1.91            -2             0    -1.8995791    0.10457909    -1.8894218    0.11454117    -1.8875616    0.11726649    -1.8872386    0.11739814    -1.8841804    0.12065147
           1.92            -2             0    -1.8974779    0.10554118    -1.8871207    0.11556905    -1.8852053    0.11835346    -1.8848798    0.11847754    -1.8817562    0.12176392
           1.93            -2             0    -1.8953575    0.10649142    -1.8847992    0.11658324    -1.8828275    0.11942741    -1.8824996    0.11954367    -1.8793099    0.12286283
           1.94            -2             0    -1.8932183    0.10742965    -1.8824575    0.11758361    -1.8804283    0.12048818    -1.8800982    0.12059635    -1.8768418    0.12394802
           1.95            -2             0    -1.8910604    0.10835575    -1.8800959       0.11857    -1.8780081    0.12153563    -1.8776758    0.12163545    -1.8743521    0.12501935
           1.96            -2             0    -1.8888841    0.10926958    -1.8777148    0.11954228     -1.875567    0.12256961    -1.8752328    0.12266083    -1.8718411    0.12607668
           1.97            -2             0    -1.8866897    0.11017103    -1.8753143    0.12050033    -1.8731054    0.12358999    -1.8727695    0.12367234    -1.8693091    0.12711986
